DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,DESCRIPCION CONDUCTA,CANTIDAD
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,09/11/2011,FEMENINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,09/11/2011,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,CALI (CT),76001000,NO REPORTADO,09/11/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,CALI (CT),76001000,NO REPORTADO,11/11/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
GUAJIRA,URIBIA,44847000,ARMA BLANCA / CORTOPUNZANTE,14/11/2011,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,BUENAVENTURA,76109000,NO REPORTADO,15/11/2011,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,GUADALAJARA DE BUGA,76111000,NO REPORTADO,19/11/2011,MASCULINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,PASTO (CT),52001000,NO REPORTADO,21/11/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,PASTO (CT),52001000,NO REPORTADO,24/11/2011,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
TOLIMA,IBAGUÉ (CT),73001000,NO REPORTADO,24/11/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
TOLIMA,IBAGUÉ (CT),73001000,NO REPORTADO,24/11/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,SARAVENA,81736000,NO REPORTADO,26/11/2011,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,MEDELLÍN (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,29/11/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,MEDELLÍN (CT),5001000,NO REPORTADO,29/11/2011,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CHOCÓ,QUIBDÓ (CT),27001000,NO REPORTADO,29/11/2011,MASCULINO,MENORES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
TOLIMA,LÉRIDA,73408000,NO REPORTADO,29/11/2011,FEMENINO,MENORES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CHOCÓ,LLORÓ,27413000,ARMA BLANCA / CORTOPUNZANTE,30/11/2011,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CHOCÓ,LLORÓ,27413000,NO REPORTADO,30/11/2011,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
NARIÑO,BUESACO,52110000,ARMA BLANCA / CORTOPUNZANTE,30/11/2011,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
NORTE DE SANTANDER,CONVENCIÓN,54206000,NO REPORTADO,30/11/2011,MASCULINO,MENORES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,CALI (CT),76001000,ESPOSAS,30/11/2011,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,CARTAGO,76147000,ARMA BLANCA / CORTOPUNZANTE,01/12/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAUCA,POPAYÁN (CT),19001000,NO REPORTADO,04/12/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,CALI (CT),76001000,NO REPORTADO,15/12/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ATLÁNTICO,BARRANQUILLA (CT),8001000,NO REPORTADO,18/12/2011,MASCULINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
NARIÑO,PUPIALES,52585000,ARMA BLANCA / CORTOPUNZANTE,20/12/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
META,VISTAHERMOSA,50711000,ARMA BLANCA / CORTOPUNZANTE,22/12/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,ARMA BLANCA / CORTOPUNZANTE,23/12/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,SARAVENA,81736000,ARMA BLANCA / CORTOPUNZANTE,27/12/2011,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,29/12/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,29/12/2011,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,CALI (CT),76001000,NO REPORTADO,30/12/2011,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
MAGDALENA,ARIGUANÍ,47058000,NO REPORTADO,04/01/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CHOCÓ,QUIBDÓ (CT),27001000,NO REPORTADO,05/01/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,05/01/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CESAR,EL PASO,20250000,NO REPORTADO,08/01/2012,FEMENINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,09/01/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,10/01/2012,MASCULINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,10/01/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
BOYACÁ,CALDAS,15131000,ARMA BLANCA / CORTOPUNZANTE,11/01/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,12/01/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,TULUÁ,76834000,ARMA BLANCA / CORTOPUNZANTE,12/01/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ATLÁNTICO,BARRANQUILLA (CT),8001000,NO REPORTADO,13/01/2012,FEMENINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,15/01/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
NARIÑO,TÚQUERRES,52838000,NO REPORTADO,17/01/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,19/01/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CESAR,SAN ALBERTO,20710000,NO REPORTADO,20/01/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,22/01/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
NARIÑO,GUACHUCAL,52317000,NO REPORTADO,22/01/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,IPIALES,52356000,ARMA BLANCA / CORTOPUNZANTE,22/01/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
TOLIMA,ROVIRA,73624000,NO REPORTADO,23/01/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,27/01/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
META,VILLAVICENCIO (CT),50001000,NO REPORTADO,27/01/2012,FEMENINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
CAQUETÁ,EL DONCELLO,18247000,ARMA BLANCA / CORTOPUNZANTE,28/01/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,SOACHA,25754000,NO REPORTADO,30/01/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,01/02/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,01/02/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
BOYACÁ,TASCO,15790000,ARMA BLANCA / CORTOPUNZANTE,03/02/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,06/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,06/02/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,07/02/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,LA CRUZ,52378000,ARMA BLANCA / CORTOPUNZANTE,07/02/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,13/02/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,13/02/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
TOLIMA,IBAGUÉ (CT),73001000,NO REPORTADO,15/02/2012,FEMENINO,ADOLECENTES,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,EL ÁGUILA,76243000,ARMA BLANCA / CORTOPUNZANTE,16/02/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CASANARE,YOPAL (CT),85001000,NO REPORTADO,17/02/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CESAR,BOSCONIA,20060000,ARMA BLANCA / CORTOPUNZANTE,17/02/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CESAR,GAMARRA,20295000,ARMA BLANCA / CORTOPUNZANTE,17/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,SARAVENA,81736000,ARMA BLANCA / CORTOPUNZANTE,18/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,SARAVENA,81736000,-,18/02/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,SARAVENA,81736000,-,18/02/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,2
META,SAN MARTÍN,50689000,NO REPORTADO,18/02/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CASANARE,AGUAZUL,85010000,ARMA BLANCA / CORTOPUNZANTE,19/02/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CASANARE,AGUAZUL,85010000,ARMA BLANCA / CORTOPUNZANTE,19/02/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
GUAJIRA,RIOHACHA (CT),44001000,NO REPORTADO,21/02/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,ARMA BLANCA / CORTOPUNZANTE,22/02/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
BOYACÁ,SOGAMOSO,15759000,NO REPORTADO,24/02/2012,FEMENINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,-,24/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
GUAJIRA,MAICAO,44430000,ARMA BLANCA / CORTOPUNZANTE,24/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,ARMA BLANCA / CORTOPUNZANTE,25/02/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,BUENAVENTURA,76109000,ARMA BLANCA / CORTOPUNZANTE,25/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,28/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,2
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,28/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,28/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,28/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,2
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,28/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,28/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,28/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,28/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,28/02/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
BOLÍVAR,MAHATES,13433000,ARMA BLANCA / CORTOPUNZANTE,28/02/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
BOLÍVAR,MAHATES,13433000,ARMA BLANCA / CORTOPUNZANTE,28/02/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
BOLÍVAR,MAHATES,13433000,ARMA BLANCA / CORTOPUNZANTE,28/02/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,28/02/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
TOLIMA,PRADO,73563000,NO REPORTADO,28/02/2012,FEMENINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,02/03/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CHOCÓ,NÓVITA,27491000,ARMA BLANCA / CORTOPUNZANTE,03/03/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CESAR,AGUACHICA,20011000,ARMA BLANCA / CORTOPUNZANTE,04/03/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,BUENAVENTURA,76109000,NO REPORTADO,04/03/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
NARIÑO,IPIALES,52356000,-,05/03/2012,MASCULINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,IPIALES,52356000,-,05/03/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAQUETÁ,VALPARAÍSO,18860000,-,06/03/2012,MASCULINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NORTE DE SANTANDER,EL ZULIA,54261000,-,11/03/2012,MASCULINO,ADOLECENTES,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,12/03/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,12/03/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,CÓRDOBA,52215000,-,12/03/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CALDAS,MANIZALES (CT),17001000,NO REPORTADO,15/03/2012,FEMENINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
NARIÑO,SANTACRUZ,52699000,ARMA BLANCA / CORTOPUNZANTE,15/03/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
META,PUERTO GAITÁN,50568000,-,22/03/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,3
ANTIOQUIA,MEDELLÍN (CT),5001000,NO REPORTADO,23/03/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ATLÁNTICO,BARRANQUILLA (CT),8001000,NO REPORTADO,26/03/2012,FEMENINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,26/03/2012,MASCULINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
TOLIMA,IBAGUÉ (CT),73001000,NO REPORTADO,26/03/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
NORTE DE SANTANDER,TOLEDO,54820000,ARMA BLANCA / CORTOPUNZANTE,27/03/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,GUARNE,5318000,NO REPORTADO,28/03/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAQUETÁ,MILÁN,18460000,NO REPORTADO,28/03/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
BOYACÁ,CHIQUINQUIRÁ,15176000,ARMA BLANCA / CORTOPUNZANTE,31/03/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,2
BOYACÁ,CHIQUINQUIRÁ,15176000,ARMA BLANCA / CORTOPUNZANTE,31/03/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
BOYACÁ,CHIQUINQUIRÁ,15176000,ARMA BLANCA / CORTOPUNZANTE,31/03/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
BOYACÁ,CHIQUINQUIRÁ,15176000,ARMA BLANCA / CORTOPUNZANTE,31/03/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
BOYACÁ,CHIQUINQUIRÁ,15176000,ARMA BLANCA / CORTOPUNZANTE,31/03/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,31/03/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
GUAJIRA,MAICAO,44430000,ARMA BLANCA / CORTOPUNZANTE,03/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,04/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,04/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,04/04/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,04/04/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAUCA,MERCADERES,19450000,ARMA BLANCA / CORTOPUNZANTE,11/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NORTE DE SANTANDER,TOLEDO,54820000,ARMA DE FUEGO,11/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NORTE DE SANTANDER,TOLEDO,54820000,ARMA DE FUEGO,11/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,TAME,81794000,ARMA BLANCA / CORTOPUNZANTE,13/04/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,13/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,-,17/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,-,17/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,18/04/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,TULUÁ,76834000,ARMA BLANCA / CORTOPUNZANTE,20/04/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ANTIOQUIA,RIONEGRO,5615000,NO REPORTADO,21/04/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,22/04/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,2
SANTANDER,SURATÁ,68780000,ARMA BLANCA / CORTOPUNZANTE,22/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CASANARE,AGUAZUL,85010000,ARMA DE FUEGO,24/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
SANTANDER,BOLÍVAR,68101000,ARMA BLANCA / CORTOPUNZANTE,24/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,TABIO,25785000,NO REPORTADO,26/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAQUETÁ,LA MONTAÑITA,18410000,ARMA BLANCA / CORTOPUNZANTE,28/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,NO REPORTADO,28/04/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,29/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,GUAITARILLA,52320000,ARMA BLANCA / CORTOPUNZANTE,30/04/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,GUAITARILLA,52320000,ARMA BLANCA / CORTOPUNZANTE,30/04/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,GUAITARILLA,52320000,ARMA BLANCA / CORTOPUNZANTE,30/04/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
GUAJIRA,MAICAO,44430000,-,01/05/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
RISARALDA,PEREIRA (CT),66001000,NO REPORTADO,04/05/2012,FEMENINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,04/05/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,04/05/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
BOYACÁ,SORACÁ,15764000,ARMA BLANCA / CORTOPUNZANTE,05/05/2012,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
BOYACÁ,CHIQUINQUIRÁ,15176000,NO REPORTADO,05/05/2012,MASCULINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
BOYACÁ,SORACÁ,15764000,ARMA BLANCA / CORTOPUNZANTE,05/05/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,ALBÁN,25019000,NO REPORTADO,10/05/2012,MASCULINO,ADOLECENTES,ARTÍCULO 168. SECUESTRO SIMPLE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,11/05/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
MAGDALENA,ZONA BANANERA,47980000,NO REPORTADO,16/05/2012,FEMENINO,MENORES,ARTÍCULO 168. SECUESTRO SIMPLE,1
MAGDALENA,ZONA BANANERA,47980000,NO REPORTADO,16/05/2012,FEMENINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,SARAVENA,81736000,ARMA BLANCA / CORTOPUNZANTE,19/05/2012,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
