DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,DESCRIPCION CONDUCTA,CANTIDAD
ARAUCA,SARAVENA,81736000,ARMA BLANCA / CORTOPUNZANTE,26/02/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,FORTUL,81300000,NO REPORTADO,28/02/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAQUETÁ,SAN JOSÉ DEL FRAGUA,18610000,ARMA BLANCA / CORTOPUNZANTE,03/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,BELLO,5088000,ARMA BLANCA / CORTOPUNZANTE,04/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CUNDINAMARCA,FUSAGASUGÁ,25290000,ARMA BLANCA / CORTOPUNZANTE,05/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NORTE DE SANTANDER,CHITAGÁ,54174000,ARMA BLANCA / CORTOPUNZANTE,05/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAUCA,CALDONO,19137000,NO REPORTADO,06/03/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
META,PUERTO LLERAS,50577000,ARMA BLANCA / CORTOPUNZANTE,07/03/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ANTIOQUIA,FRONTINO,5284000,ARMA BLANCA / CORTOPUNZANTE,08/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ARAUCA,SARAVENA,81736000,ARMA BLANCA / CORTOPUNZANTE,12/03/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,SARAVENA,81736000,ARMA BLANCA / CORTOPUNZANTE,12/03/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,SARAVENA,81736000,ARMA BLANCA / CORTOPUNZANTE,12/03/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,CALI (CT),76001000,NO REPORTADO,13/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
RISARALDA,DOSQUEBRADAS,66170000,NO REPORTADO,17/03/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,ARAUQUITA,81065000,-,19/03/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,ARAUQUITA,81065000,-,19/03/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,ARAUQUITA,81065000,-,19/03/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,ARAUQUITA,81065000,-,19/03/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,ARAUQUITA,81065000,-,19/03/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
ARAUCA,ARAUQUITA,81065000,-,19/03/2010,MASCULINO,ADULTOS,ARTÍCULO 168. SECUESTRO SIMPLE,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,19/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,PASTO (CT),52001000,NO REPORTADO,20/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NARIÑO,PASTO (CT),52001000,NO REPORTADO,20/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
VALLE,CANDELARIA,76130000,NO REPORTADO,23/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,SEGOVIA,5736000,ARMA BLANCA / CORTOPUNZANTE,24/03/2010,MASCULINO,MENORES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CESAR,AGUACHICA,20011000,NO REPORTADO,25/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,ENVIGADO,5266000,NO REPORTADO,26/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,MEDELLÍN (CT),5001000,NO REPORTADO,26/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CAUCA,EL TAMBO,19256000,ARMA BLANCA / CORTOPUNZANTE,27/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
ANTIOQUIA,PUERTO BERRÍO,5579000,ARMA BLANCA / CORTOPUNZANTE,29/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CASANARE,NUNCHÍA,85225000,ARMA BLANCA / CORTOPUNZANTE,29/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CASANARE,TAURAMENA,85410000,ARMA BLANCA / CORTOPUNZANTE,29/03/2010,FEMENINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CASANARE,OROCUÉ,85230000,ARMA BLANCA / CORTOPUNZANTE,30/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
NORTE DE SANTANDER,CÚCUTA (CT),54001000,NO REPORTADO,30/03/2010,MASCULINO,ADULTOS,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CÓRDOBA,MONTERÍA (CT),23001000,NO REPORTADO,07/04/2010,MASCULINO,MENORES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
CÓRDOBA,MONTERÍA (CT),23001000,NO REPORTADO,07/04/2010,FEMENINO,ADOLECENTES,ARTÍCULO 169. SECUESTRO EXTORSIVO,1
